cod	lat	lng	intrusion	variation	flag_variation
03827	38.7624113	-0.3701276	6	0.0	null
03828	38.7887028	-0.3277829	31	100.0	pos
03829	38.7463904	-0.4596721	22	288.6	pos
03830	38.7804929	-0.4384458	1	33.3	neg
03839	38.7882602	-0.4596721	25	100.0	pos
03840	38.8146069	-0.4078058	7	100.0	pos
03850	38.8252202	-0.3607137	23	0.0	null
03860	38.8515081	-0.3089777	22	0.0	null
04001	36.837922	-2.4647416	2	55.8	pos
04002	36.8469612	-2.514842	3	3.8	pos
04003	36.8439857	-2.4641235	6	0.0	null
04004	36.8366538	-2.4610327	0	0.0	null
04005	36.8414494	-2.4567059	5	0.0	null
04006	36.8416526	-2.4468177	0	48.3	neg
04007	36.8270874	-2.435696	2	45.9	pos
04008	36.8686786	-2.5049414	3	100.0	pos
04009	36.8616927	-2.4529976	2	86.5	pos
04100	36.9559467	-2.1646722	5	0.0	null
04110	36.9377212	-2.1327491	7	0.0	null
04113	36.8722464	-2.1867861	9	0.0	null
04114	36.9679161	-2.0959429	22	100.0	pos
04116	36.9150457	-2.0469151	7	20.5	neg
04117	36.8269305	-2.1646722	5	24.8	neg
04118	36.7686892	-2.1106617	2	74.5	pos
04120	36.8544828	-2.4109908	4	8.5	neg
04130	36.8609454	-2.3566861	4	0.0	null
04131	36.8194445	-2.2778128	1	99.0	pos
04140	36.9763337	-1.9148091	5	0.0	null
04150	36.7745776	-2.2310465	9	0.0	null
04151	36.7725689	-2.1941598	10	69.2	pos
04200	37.0380889	-2.3616203	4	100.0	pos
04210	37.0356543	-2.2089109	13	100.0	pos
04230	36.8910062	-2.4653598	1	32.3	neg
04240	36.8924162	-2.396174	4	19.3	pos
04250	36.9189878	-2.4109908	4	26.0	pos
04260	36.9615582	-2.4307539	13	0.0	null
04270	37.1606405	-2.1155691	5	100.0	pos
04271	37.2153817	-2.0469151	11	41.2	neg
04279	37.1170755	-2.1548473	8	0.0	null
04280	37.1661235	-1.9514657	5	57.2	pos
04288	37.1840951	-1.9979411	6	0.0	null
04410	36.9177737	-2.4703057	3	0.0	null
04480	36.9494002	-2.9675572	21	0.0	null
04510	37.1686652	-2.7680247	17	56.5	pos
04520	37.1134659	-2.8377656	5	0.0	null
04550	37.2045935	-2.5990835	25	0.0	null
04600	37.3998708	-1.8806237	7	0.0	null
04610	37.2927086	-1.900155	8	22.4	neg
04618	37.278554	-1.7782267	6	0.0	null
